no.,title,date,time,planner,category,tag,comment,keyword
#132,増税も吹っ飛ばせ！shu3のB級動画炸裂！,2019/10/5,80分～,shu3,,ナポリレース　CMが本編　媚びない　舐められるマン　この穴にね！　おむすびころりん　マックが大好きやからやそれは,・ナポリテン開催中です・めっちゃ媚びてしまった・ナポ男と運動会・実況中のハプニング,
#133,すぎるの愛情弁当（秋）,2019/10/12,80分～,すぎる,,m字開脚　shu3ベビー　街角shu3　高槻のジャムおじさん　弁当回　（優しい笑顔）　shu活　内部点　お料理回,・街角のshu3を捜せ・ナポ男のおすすめ,
#134,秋の夜長！言葉の発想力ゲームで遊ぶわよ！,2019/10/19,80分～,ナポリ,,野タオル　すき焼き論争　ナポリテン　乳首万能説　乳牛　乳首バレ　ジャック・オ・まんたん　ヤパリ…　プリ男,・ナポリテン無事終わりました、ありがとうございます,
#135,蘭たんが前世占いに行って前世を体験してきたぞ！,2019/10/26,80分～,蘭たん,,前世占い　大蛇丸　おにぎり論争　ヘビーカッパー　ボー,・ナポ男のおすすめ・俺の萌え・スマホが無い時代の暇つぶし,
#136,文化の秋！ナポ男合唱団公演会（指揮者：shu3）,2019/11/2,80分～,蘭たん,,神回　ぼくも（わたしも）　特殊ED回　ボブ　ノミみたいな桑田佳祐　卵　音程の取れた工事現場　Mr.コメディ　蘭ルモ,・ナポ男の無個性化選手権・ごはんに合うわ～,
#137,発足！すぎもと新喜劇,2019/11/9,80分～,すぎる,,座長！　ワンタン　くるぞ…　問題作　牛の頭　3人目のアフロ　ちらおじ　新喜劇　雀の死骸…？,・ナポ男の理想の立地・ナポ男のルーティーン,
#138,hacchiの心に残るひとこと,2019/11/16,80分～,hacchi,,絶起　エアポートおじさん　KP(長渕)　スピードスター　ロウ・メイカー　故に00　おじギャグ　不覚にも　きくらげ,・ナポ男の恥ずかしい過去の遺産・JK用語クイズ2019,
#139,蘭たんのやってみたかったゲーム『トモダチコレクション』をやってみた,2019/11/23,90分～,蘭たん,,トモダチコレクション　任天堂ゲーム配信　コナン回　ハワイ万能説　動物畜生　肛門扱い　砂山の利害関係,・直したい癖・ナポ男のゲームプレイ分析、あなたはどっち派？,
#140,みんなで遊ぼう「なぽりしょうぎ」,2019/11/30,80分～,ナポリ,,トモダチコレクション　どす恋!　2way　任天堂ゲーム配信　スパム事件　屁こきのshu,・ナポリのともだちコレクション・祝！「どす恋」漫画化,
#141,すぎる制作『ナポ男理想の少女漫画』,2019/12/7,80分～,すぎる,,アナザーガール！　トモダチコレクション　ぺれちゃん　うれション黙示録第3章　女騎士　任天堂ゲーム配信,・初代ゲームボーイの思い出・もし旅先でコナンに絡まれたら・緊急議論！エロに打ち勝つには？,
#142,hacchiサンタのわくわく手作りプレゼント,2019/12/14,80分～,hacchi,,"トモダチコレクション　任天堂ゲーム配信　あ""る""っ!!　ランタンパープル　パすぎる　ファッキンドリンク　すぎるvs塩　見てるよゴエモン",・ナポ男流行語大賞2019・有能パシリ選手権・がんばれゴエモンの『がんばれ』とは？,
